,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
11148,1900,,,,,,,,,,,,1875.132,22942.634,,,,,,,,,,,73.84,903.454,,,,,,,,,100.065,1224.311,,,,81731352.0,,,,,,,,
11149,1901,8.872,166.369,7.988,8.728,8.734,,,,,,,2041.501,,,,,,,,,,,,81.828,,,,,,,,,,108.799,,,,,,,,,,,,,
11150,1902,4.591,93.727,7.988,27.322,29.726,,,,,,,2135.228,,,,,,,,,,,,89.816,,,,,,,,,,138.525,,,,,,,,,,,,,
11151,1903,16.502,352.364,7.988,13.089,18.131,,,,,,,2487.592,,,,,,,,,,,,97.803,,,,,,,,,,156.656,,,,,,,,,,,,,
11152,1904,-1.406,-34.986,7.988,16.585,25.981,,,,,,,2452.606,,,,,,,,,,,,105.791,,,,,,,,,,182.638,,,,,,,,,,,,,
11153,1905,11.436,280.488,7.988,15.149,27.668,,,,,,,2733.094,,,,,,,,,,,,113.779,,,,,,,,,,210.305,,,,,,,,,,,,,
11154,1906,5.622,153.648,7.988,-5.912,-12.432,,,,,,,2886.742,,,,,,,,,,,,121.766,,,,,,,,,,197.873,,,,,,,,,,,,,
11155,1907,15.759,454.911,7.988,31.686,62.697,,,,,,,3341.654,,,,,,,,,,,,129.754,,,,,,,,,,260.57,,,,,,,,,,,,,
11156,1908,-12.99,-434.096,7.988,9.056,23.597,,,,,,,2907.557,,,,,,,,,,,,137.742,,,,,,,,,,284.168,,,,,,,,,,,,,
11157,1909,10.438,303.492,7.988,1.821,5.175,,,,,,,3211.049,,,,,,,,,,,,145.729,,,,,,,,,,289.343,,,,,,,,,,,,,
11158,1910,9.178,294.717,11.86,14.567,42.147,,,,,,,3505.766,35465.86,,,,,,,,,,,157.589,1594.24,,,,,,,,,331.49,3353.499,,,,98849040.0,,,,,,,,
11159,1911,-1.337,-46.879,8.376,9.834,32.599,,,,,,,3458.887,,,,,,,,,,,,165.965,,,,,,,,,,364.089,,,,,,,,,,,,,
11160,1912,8.082,279.553,8.376,2.105,7.664,,,,,,,3738.44,,,,,,,,,,,,174.342,,,,,,,,,,371.753,,,,,,,,,,,,,
11161,1913,6.479,242.228,8.376,14.541,54.056,,,,,,,3980.668,,,,,,,,,,,,182.718,,,,,,,,,,425.81,,,,,,,,,,,,,
11162,1914,-9.845,-391.916,8.376,4.578,19.492,,,,,,,3588.752,,,,,,,,,,,,191.094,,,,,,,,,,445.301,,,,,,,,,,,,,
11163,1915,3.272,117.439,8.376,9.423,41.961,,,,,,,3706.19,,,,,,,,,,,,199.471,,,,,,,,,,487.262,,,,,,,,,,,,,
11164,1916,10.92,404.73,8.376,8.7,42.391,,,,,,,4110.92,,,,,,,,,,,,207.847,,,,,,,,,,529.654,,,,,,,,,,,,,
11165,1917,10.055,413.34,8.376,16.356,86.632,,,,,,,4524.261,,,,,,,,,,,,216.223,,,,,,,,,,616.286,,,,,,,,,,,,,
11166,1918,4.551,205.877,8.376,7.573,46.671,,,,,,,4730.138,,,,,,,,,,,,224.6,,,,,,,,,,662.957,,,,,,,,,,,,,
11167,1919,-18.023,-852.51,8.376,14.194,94.098,,,,,,,3877.628,,,,,,,,,,,,232.976,,,,,,,,,,757.055,,,,,,,,,,,,,
11168,1920,18.915,733.44,8.376,32.972,249.615,,,,,,,4611.067,40140.007,,,,,,,,,,,241.352,2101.008,,,,,,,,,1006.67,8763.211,,,,114874600.0,,,,,,,,
11169,1921,-22.682,-1045.899,8.376,8.278,83.329,,,,,,,3565.169,,,,,,,,,,,,249.729,,,,,,,,,,1089.999,,,,,,,,,,,,,
11170,1922,-5.661,-201.807,8.376,10.702,116.649,,,,,,,3363.361,,,,,,,,,,,,258.105,,,,,,,,,,1206.648,,,,,,,,,,,,,
