,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
937,1919,-3.5,-2.546,0.0,,0.0,,,,,,,70.207,13495.679,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5202210.0,,,,,,43086319616.0,,
938,1920,22.052,15.482,0.0,,0.0,,,,,,,85.69,16030.487,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5345426.0,,,,,,45494779904.0,,
939,1921,-0.311,-0.267,0.0,,0.0,,,,,,,85.423,15609.168,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5472619.0,,,,,,48384458752.0,,
940,1922,-4.554,-3.89,0.0,,0.0,,,,,,,81.533,14596.495,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5585790.0,,,,,,51553927168.0,,
941,1923,2.603,2.122,0.0,,0.0,,,,,,,83.655,14662.704,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5705305.0,,,,,,54691201024.0,,
942,1924,9.91,8.29,0.0,,0.0,,,,,,,91.945,15775.176,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5828491.0,,,,,,58993020928.0,,
943,1925,1.201,1.104,0.0,,0.0,,,,,,,93.05,15635.991,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,5951010.0,,,,,,62496587776.0,,
944,1926,-2.297,-2.137,0.0,,0.0,,,,,,,90.913,14967.059,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6074196.0,,,,,,64745328640.0,,
945,1927,3.254,2.958,0.0,,0.0,,,,,,,93.871,15153.444,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6194712.0,,,,,,66496249856.0,,
946,1928,-11.554,-10.846,0.0,,0.0,,,,,,,83.025,13166.972,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6305547.0,,,,,,67389759488.0,,
947,1929,-11.36,-9.432,0.0,,0.0,,,,,,,73.593,11500.074,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6399355.0,,,,,,66755051520.0,,
948,1930,-7.217,-5.312,0.0,,0.0,,,,,,,68.282,10547.362,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6473801.0,,,,,,60174639104.0,,
949,1931,-9.624,-6.572,0.0,,0.0,,,,,,,61.71,9443.15,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6534894.0,,,,,,55929864192.0,,
950,1932,3.782,2.334,0.0,,0.0,,,,,,,64.044,9719.845,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6588976.0,,,,,,58875469824.0,,
951,1933,5.124,3.282,0.0,,0.0,,,,,,,67.326,10138.29,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6640721.0,,,,,,62722629632.0,,
952,1934,4.967,3.344,0.0,,0.0,,,,,,,70.669,10560.609,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6691798.0,,,,,,65797652480.0,,
953,1935,10.86,7.675,0.0,,0.0,,,,,,,78.344,11619.406,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6742542.0,,,,,,69400190976.0,,
954,1936,6.853,5.369,0.0,,0.0,,,,,,,83.713,12318.683,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6795622.0,,,,,,72252514304.0,,
955,1937,6.701,5.61,0.0,,0.0,,,,,,,89.323,13034.086,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6853042.0,,,,,,75613569024.0,,
956,1938,-1.85,-1.652,0.0,,0.0,,,,,,,87.671,12676.869,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6915804.0,,,,,,77877116928.0,,
957,1939,13.749,12.054,0.0,,0.0,,,,,,,99.724,14281.209,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,6982906.0,,,,,,77789388800.0,,
958,1940,-10.425,-10.397,0.0,,0.0,,,,,,,89.328,12666.986,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7052010.0,,,,,,82567446528.0,,
959,1941,19.38,17.311,0.0,,0.0,,,,,,,106.639,14978.58,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7119446.0,,,,,,91426127872.0,,
960,1942,5.222,5.568,0.0,,0.0,,,,,,,112.207,15618.617,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7184210.0,,,,,,102000000000.0,,
961,1943,-3.841,-4.31,0.0,,0.0,,,,,,,107.898,14881.821,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7250310.0,,,,,,105000000000.0,,
962,1944,-2.882,-3.11,0.0,,0.0,,,,,,,104.788,14310.598,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7322420.0,,,,,,101000000000.0,,
963,1945,-4.658,-4.881,0.0,,0.0,,,,,,,99.907,13497.491,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7401873.0,,,,,,95281152000.0,,
964,1946,7.544,7.537,0.0,,0.0,,,,,,,107.444,14341.794,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7491676.0,,,,,,91526602752.0,,
965,1947,6.94,7.456,0.0,,0.0,,,,,,,114.9,15117.446,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7600507.0,,,,,,93406429184.0,,
966,1948,0.984,1.13,0.0,,0.0,,,,,,,116.031,14973.5,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7749066.0,,,,,,99014311936.0,,
967,1949,-2.341,-2.717,0.0,,0.0,,,,,,,113.314,14254.842,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,7949150.0,,,,,,105000000000.0,,
968,1950,14.108,15.986,0.0,,0.0,,,,,,,129.3,15812.659,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8177000.0,,,,,,112000000000.0,,
969,1951,6.529,8.442,0.0,,0.0,,,,,,,137.743,16401.829,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8398000.0,,,,,,110000000000.0,,
970,1952,9.161,12.619,0.0,,0.0,,,,,,,150.362,17494.073,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,8595000.0,,,,,,115000000000.0,,
