,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
8091,1900,,,,,,,,,,,,57.462,1297.643,,,,,,,,,,,0.0,0.0,,,,,,,,,1.326,29.94,,,,44282076.0,,,,,,69462228992.0,,
8092,1901,20.463,11.759,0.0,27.193,0.361,,,,,,,69.221,1545.818,,,,,,,,,,,0.0,0.0,,,,,,,,,1.686,37.659,,,,44779568.0,,,,,,71950483456.0,,
8093,1902,7.702,5.332,0.0,8.276,0.14,,,,,,,74.553,1646.029,,,,,,,,,,,0.0,0.0,,,,,,,,,1.826,40.314,,,,45292392.0,,,,,,68244541440.0,,
8094,1903,4.015,2.994,0.0,-19.745,-0.361,,,,,,,77.546,1693.17,,,,,,,,,,,0.0,0.0,,,,,,,,,1.465,31.996,,,,45799428.0,,,,,,73024716800.0,,
8095,1904,6.276,4.867,0.0,46.825,0.686,,,,,,,82.413,1779.355,,,,,,,,,,,0.0,0.0,,,,,,,,,2.152,46.453,,,,46316280.0,,,,,,73601884160.0,,
8096,1905,7.626,6.284,0.0,-4.865,-0.105,,,,,,,88.698,1893.312,,,,,,,,,,,0.0,0.0,,,,,,,,,2.047,43.692,,,,46847852.0,,,,,,72350801920.0,,
8097,1906,12.5,11.087,0.0,29.545,0.605,,,,,,,99.785,2105.636,,,,,,,,,,,0.0,0.0,,,,,,,,,2.652,55.954,,,,47389464.0,,,,,,81797160960.0,,
8098,1907,6.336,6.322,0.0,17.544,0.465,,,,,,,106.107,2217.596,,,,,,,,,,,0.0,0.0,,,,,,,,,3.117,65.141,,,,47847956.0,,,,,,84413071360.0,,
8099,1908,7.413,7.866,0.0,2.985,0.093,,,,,,,113.974,2355.419,,,,,,,,,,,0.0,0.0,,,,,,,,,3.21,66.337,,,,48387864.0,,,,,,84985856000.0,,
8100,1909,1.539,1.754,0.0,-2.899,-0.093,,,,,,,115.728,2362.384,,,,,,,,,,,0.0,0.0,,,,,,,,,3.117,63.625,,,,48987700.0,,,,,,84885454848.0,,
8101,1910,4.199,4.86,0.0,-4.104,-0.128,,,,,,,120.587,2429.236,,,,,,,,,,,0.0,0.0,,,,,,,,,2.989,60.212,,,,49640048.0,,,,,,86210838528.0,,
8102,1911,12.414,14.969,0.0,8.949,0.267,,,,,,,135.557,2694.617,,,,,,,,,,,0.0,0.0,,,,,,,,,3.256,64.731,,,,50306520.0,,,,,,90889150464.0,,
8103,1912,11.382,15.429,0.0,-16.429,-0.535,,,,,,,150.986,2958.938,,,,,,,,,,,0.0,0.0,,,,,,,,,2.721,53.333,,,,51027052.0,,,,,,94138966016.0,,
8104,1913,8.503,12.838,0.0,16.667,0.454,,,,,,,163.824,3165.278,,,,,,,,,,,0.0,0.0,,,,,,,,,3.175,61.345,,,,51756636.0,,,,,,95696543744.0,,
8105,1914,4.584,7.51,0.0,35.897,1.14,,,,,,,171.334,3264.318,,,,,,,,,,,0.0,0.0,,,,,,,,,4.315,82.206,,,,52486928.0,,,,,,92845711360.0,,
8106,1915,-8.078,-13.84,0.0,11.051,0.477,,,,,,,157.494,2960.197,,,,,,,,,,,0.0,0.0,,,,,,,,,4.792,90.06,,,,53203904.0,,,,,,101000000000.0,,
8107,1916,11.761,18.524,0.0,1.214,0.058,,,,,,,176.018,3266.428,,,,,,,,,,,0.0,0.0,,,,,,,,,4.85,89.998,,,,53886856.0,,,,,,117000000000.0,,
8108,1917,15.146,26.659,0.0,-3.357,-0.163,,,,,,,202.676,3720.424,,,,,,,,,,,0.0,0.0,,,,,,,,,4.687,86.035,,,,54476676.0,,,,,,121000000000.0,,
