,Year,Coal production change (%),Coal production change (tWh),Gas production change (%),Oil production change (%),Oil production change (tWh),Energy consumption change (%),Energy consumption change (tWh),Biofuel consumption change (tWh),Biofuel consumption (tWh),Biofuel consumption per capita (kWh),Coal consumption (tWh),Coal production (tWh),Coal production per capita (kWh),Electricity generation (tWh),Hydro electricity generation (tWh),Nuclear electricity generation (tWh),Other renewable electricity (tWh),Renewables electricity generation (tWh),Solar electricity generation (tWh),Wind electricity generation (tWh),Energy consumption per GDP (kWh/$),Energy consumption per capita (kWh),Gas consumption (tWh),Gas production (tWh),Gas production per capita (kWh),Share of electricity consumption from hydro,Hydro electricity consumption per capita (kWh),Electricity consumption share from low carbon,Low carbon electricity generation (tWh),Low carbon electricity consumption (kWh),Share of electricity consumption from nuclear,Nuclear electricity consumption per capita (kWh),Oil energy consumption (tWh),Oil production (tWh),Oil production per capita (kWh),Other renewables consumption per capita (kWh),Share of consumption from other renewables,Electricity consumption per capita (kWh),Population,Primary energy consumption (tWh),Renewables consumption per capita (kWh),Share of consumption from renewables,Share of electricity consumption from solar,Solar consumption per capita (kWh),GDP,Share of electricity consumption from wind,Wind consumption per capita (kWh)
16128,1900,,,,,,,,,,,,1566.458,41227.177,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,37995760.0,,,,,,231000000000.0,,
16129,1901,-2.724,-42.668,0.0,,0.0,,,,,,,1523.79,39698.315,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,38384248.0,,,,,,231000000000.0,,
16130,1902,3.674,55.985,0.0,,0.0,,,,,,,1579.775,40739.257,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,38777696.0,,,,,,238000000000.0,,
16131,1903,1.426,22.532,0.0,,0.0,,,,,,,1602.307,40914.263,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39162544.0,,,,,,236000000000.0,,
16132,1904,0.909,14.57,0.0,,0.0,,,,,,,1616.876,40886.134,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39545832.0,,,,,,238000000000.0,,
16133,1905,1.592,25.743,0.0,,0.0,,,,,,,1642.619,41139.609,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,39927928.0,,,,,,246000000000.0,,
16134,1906,6.327,103.924,0.0,,0.0,,,,,,,1746.544,43327.896,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40309912.0,,,,,,255000000000.0,,
16135,1907,6.677,116.611,0.0,,0.0,,,,,,,1863.155,45793.429,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,40686072.0,,,,,,260000000000.0,,
16136,1908,-2.353,-43.839,0.0,,0.0,,,,,,,1819.316,44290.529,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41076864.0,,,,,,251000000000.0,,
16137,1909,0.858,15.617,0.0,,0.0,,,,,,,1834.933,44255.241,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41462504.0,,,,,,257000000000.0,,
16138,1910,0.25,4.58,0.0,,0.0,,,,,,,1839.513,44002.328,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,41804912.0,,,,,,266000000000.0,,
16139,1911,2.821,51.89,0.0,,0.0,,,,,,,1891.404,44860.888,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,42161532.0,,,,,,275000000000.0,,
16140,1912,-4.221,-79.831,0.0,,0.0,,,,,,,1811.573,42708.878,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,42416768.0,,,,,,280000000000.0,,
16141,1913,10.373,187.918,0.0,,0.0,,,,,,,1999.491,46837.513,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,42689944.0,,,,,,292000000000.0,,
16142,1914,-7.573,-151.412,0.0,,0.0,,,,,,,1848.079,42960.819,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,43017768.0,,,,,,293000000000.0,,
16143,1915,-4.692,-86.705,0.0,,0.0,,,,,,,1761.373,40654.701,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,43325208.0,,,,,,315000000000.0,,
16144,1916,1.254,22.087,0.0,,0.0,,,,,,,1783.46,40971.186,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,43529628.0,,,,,,320000000000.0,,
